SMILES,Crippen_logp,NumHDonors,NumHAcceptors,NumRotatableBonds,TPSA,natoms,refractivity,HAS_PYR_H,HAS_MULTIPLE_PYR,HAS_FRAGMENTS,HAS_BAD_NITROGEN,MOL_WT,HAS_SULFONYL_HALIDE,HAS_ACID_HALIDES,HAS_PYRADINONE,INCHI,INCHI_KEY
O=C(O)c1c[nH]c2cc3c(cc2c1=O)OCCO3,0.9974999999999996,2,5,1,88.62,27,62.51800000000002,True,False,False,False,247.20600000000005,False,False,False,"InChI=1S/C12H9NO5/c14-11-6-3-9-10(18-2-1-17-9)4-8(6)13-5-7(11)12(15)16/h3-5H,1-2H2,(H,13,14)(H,15,16)",MHIFATZXRQSTSN-UHFFFAOYSA-N
Nc1ccc(-c2nnc(-c3cccnc3)[nH]2)cc1,2.1159,2,4,3,80.47999999999999,29,69.4621,True,False,False,False,237.26600000000008,False,False,False,"InChI=1S/C13H11N5/c14-11-5-3-9(4-6-11)12-16-13(18-17-12)10-2-1-7-15-8-10/h1-8H,14H2,(H,16,17,18)",CGKIQMWBWXMWGV-UHFFFAOYSA-N
Cc1c(-c2ccccn2)c(=O)[nH]n1-c1ccc(F)cc1,2.6751200000000006,1,3,3,50.68,32,74.31570000000002,True,False,False,False,269.27899999999977,False,False,False,"InChI=1S/C15H12FN3O/c1-10-14(13-4-2-3-9-17-13)15(20)18-19(10)12-7-5-11(16)6-8-12/h2-9H,1H3,(H,18,20)",QZZHZDLTRHSVBX-UHFFFAOYSA-N
O=[N+]([O-])c1cnc2ccccc2c1O,1.8486,1,4,2,76.26,20,50.06220000000001,True,False,False,False,190.15800000000004,False,False,False,"InChI=1S/C9H6N2O3/c12-9-6-3-1-2-4-7(6)10-5-8(9)11(13)14/h1-5H,(H,10,12)",ZWISCKSGNCMAQO-UHFFFAOYSA-N
Cc1cccnc1C(N)=NO,0.4845200000000001,2,3,3,71.5,20,41.48490000000001,True,False,False,False,151.1690000000001,False,False,False,"InChI=1S/C7H9N3O/c1-5-3-2-4-9-6(5)7(8)10-11/h2-4,11H,1H3,(H2,8,10)",UQDFGZCCSCDNSO-UHFFFAOYSA-N
CN(C)S(=O)(=O)c1c[nH]ccc1=O,-0.3748,1,3,4,70.24000000000001,23,47.93550000000002,True,False,False,False,202.23500000000007,False,False,False,"InChI=1S/C7H10N2O3S/c1-9(2)13(11,12)7-5-8-4-3-6(7)10/h3-5H,1-2H3,(H,8,10)",VBWSVJXKUXMDFO-UHFFFAOYSA-N
COC(=O)c1cnc2c[nH]nc2c1,0.7444999999999997,1,4,2,67.87,20,45.22820000000001,True,False,False,False,177.16300000000007,False,False,False,"InChI=1S/C8H7N3O2/c1-13-8(12)5-2-6-7(9-3-5)4-10-11-6/h2-4H,1H3,(H,10,11)",AQDFNXASXNIENA-UHFFFAOYSA-N
Cc1cc(C(C)N)c[nH]c1=S,2.07231,2,2,4,41.81,23,48.96610000000001,True,False,False,False,168.2650000000001,False,False,False,"InChI=1S/C8H12N2S/c1-5-3-7(6(2)9)4-10-8(5)11/h3-4,6H,9H2,1-2H3,(H,10,11)",QFGNVPNEWZAFDG-UHFFFAOYSA-N
Cc1cc(C2CCCN2Cc2ccccc2)c[nH]c1=S,4.389710000000004,1,2,4,19.03,40,85.19070000000005,True,False,False,False,284.4279999999996,False,False,False,"InChI=1S/C17H20N2S/c1-13-10-15(11-18-17(13)20)16-8-5-9-19(16)12-14-6-3-2-4-7-14/h2-4,6-7,10-11,16H,5,8-9,12H2,1H3,(H,18,20)",RCCGEHJVOKVJCE-UHFFFAOYSA-N
COC(=O)c1cc(=O)c2ccc(Cl)c(C)c2[nH]1,2.27652,1,3,3,59.16,27,65.65520000000001,True,False,False,False,251.66900000000007,False,False,False,"InChI=1S/C12H10ClNO3/c1-6-8(13)4-3-7-10(15)5-9(12(16)17-2)14-11(6)7/h3-5H,1-2H3,(H,14,15)",MGVVMSKTFCAVOL-UHFFFAOYSA-N
