,SMILES,Crippen_logp,NumHDonors,NumHAcceptors,NumRotatableBonds,TPSA,natoms,refractivity,HAS_PYR_H,HAS_MULTIPLE_PYR,HAS_FRAGMENTS,HAS_BAD_NITROGEN,MOL_WT,HAS_SULFONYL_HALIDE,HAS_ACID_HALIDES,HAS_PYRADINONE,INCHI,INCHI_KEY,CID,VENDORS
7586,C=C(C)Cc1c(O)ncnc1/C=C/c1ccncc1,2.8662,1,4,6,58.9,34,75.3798,True,False,False,False,253.305,False,False,False,"InChI=1S/C15H15N3O/c1-11(2)9-13-14(17-10-18-15(13)19)4-3-12-5-7-16-8-6-12/h3-8,10H,1,9H2,2H3,(H,17,18,19)/b4-3+",UZOYKWCADYNICL-ONEGZZNKSA-N,45063930,nan
7624,Cc1nc(O)c(C(C)C(=O)O)c(/C=C/c2cccnc2)n1,2.24412,2,6,7,96.2,36,77.6496,True,False,False,False,285.303,False,False,False,"InChI=1S/C15H15N3O3/c1-9(15(20)21)13-12(17-10(2)18-14(13)19)6-5-11-4-3-7-16-8-11/h3-9H,1-2H3,(H,20,21)(H,17,18,19)/b6-5+",NRMXVDXLJZGUKJ-AATRIKPKSA-N,45060728,nan
7639,O=C(Nc1cccnc1)C(=NO)C(=O)c1ccccc1,1.7332,2,5,5,91.65,31,72.8607,True,False,False,False,269.26,False,False,False,"InChI=1S/C14H11N3O3/c18-13(10-5-2-1-3-6-10)12(17-20)14(19)16-11-7-4-8-15-9-11/h1-9,20H,(H,16,19)",YGTFPZMWQMOGLG-UHFFFAOYSA-N,6794043,nan
7718,Cc1nc(-c2cccnc2)[nH]c(=O)c1CC(=O)O,0.76742,2,5,4,95.94,29,64.1655,True,False,False,False,245.238,False,False,False,"InChI=1S/C12H11N3O3/c1-7-9(5-10(16)17)12(18)15-11(14-7)8-3-2-4-13-6-8/h2-4,6H,5H2,1H3,(H,16,17)(H,14,15,18)",VKYPUUGAULWRSS-UHFFFAOYSA-N,39870431,nan
7751,CCOC(=O)C1=C(C)NC(=S)NC1c1cccnc1,1.4375,2,4,5,63.25,34,75.1804,True,False,False,False,277.349,False,False,False,"InChI=1S/C13H15N3O2S/c1-3-18-12(17)10-8(2)15-13(19)16-11(10)9-5-4-6-14-7-9/h4-7,11H,3H2,1-2H3,(H2,15,16,19)",JPYRFQAGJBOJFZ-UHFFFAOYSA-N,536002,nan
7916,Nc1cccnc1NCc1ccc(Br)cc1,3.0384,2,3,4,50.94,28,70.1181,True,False,False,False,278.153,False,False,False,"InChI=1S/C12H12BrN3/c13-10-5-3-9(4-6-10)8-16-12-11(14)2-1-7-15-12/h1-7H,8,14H2,(H,15,16)",TYHCBBHLRKWGBL-UHFFFAOYSA-N,60751668,nan
8126,CCN(CC)c1ccc(/C=C(\C)c2ccncc2)cc1,4.4883,0,2,8,16.13,42,87.785,True,False,False,False,266.388,False,False,False,"InChI=1S/C18H22N2/c1-4-20(5-2)18-8-6-16(7-9-18)14-15(3)17-10-12-19-13-11-17/h6-14H,4-5H2,1-3H3/b15-14+",UQKWFJUVXXSIOU-CCEZHUSRSA-N,44720926,nan
8360,FC(F)Oc1ccc(CCl)nc1C(F)(F)F,3.4406,0,2,3,22.12,21,45.428,True,False,False,False,261.577,False,False,False,"InChI=1S/C8H5ClF5NO/c9-3-4-1-2-5(16-7(10)11)6(15-4)8(12,13)14/h1-2,7H,3H2",BUODCVRJUJQKQT-UHFFFAOYSA-N,131314132,nan
8475,O=C(O)[C@H]1CCCCN1c1ccccn1,1.5251,1,4,2,53.43,29,56.8578,True,False,False,False,206.245,False,False,False,"InChI=1S/C11H14N2O2/c14-11(15)9-5-2-4-8-13(9)10-6-1-3-7-12-10/h1,3,6-7,9H,2,4-5,8H2,(H,14,15)/t9-/m1/s1",JNAYLTUMUWJFAI-SECBINFHSA-N,28190790,nan
8640,Nc1cc(=O)[nH]c(SCc2ccncc2)n1,1.0394,2,5,4,84.66,26,63.0681,True,False,False,False,234.284,False,False,False,"InChI=1S/C10H10N4OS/c11-8-5-9(15)14-10(13-8)16-6-7-1-3-12-4-2-7/h1-5H,6H2,(H3,11,13,14,15)",ZFMIXBKYJQWERW-UHFFFAOYSA-N,43120541,nan
8791,Cc1cc(C(C)(C#N)c2ccccc2)nc2ccccc12,4.3728,0,2,4,36.68,37,84.989,True,False,False,False,272.351,False,False,False,"InChI=1S/C19H16N2/c1-14-12-18(21-17-11-7-6-10-16(14)17)19(2,13-20)15-8-4-3-5-9-15/h3-12H,1-2H3",VYFIFBVPNVWOEF-UHFFFAOYSA-N,12504029,nan
9362,CSCc1cc(O)nc(-c2ccccn2)n1,2.1072,1,5,5,58.9,27,64.1468,True,False,False,False,233.296,False,False,False,"InChI=1S/C11H11N3OS/c1-16-7-8-6-10(15)14-11(13-8)9-4-2-3-5-12-9/h2-6H,7H2,1H3,(H,13,14,15)",UEBMPZNUJVXRMW-UHFFFAOYSA-N,1471358,nan
9890,Cn1c(O)cc(=O)c2ccccc21,1.2441,1,3,2,42.23,22,50.8538,True,False,False,False,175.187,False,False,False,"InChI=1S/C10H9NO2/c1-11-8-5-3-2-4-7(8)9(12)6-10(11)13/h2-6,13H,1H3",VWRAQWACTKTNAO-UHFFFAOYSA-N,15502,nan
9904,CC1(C)CC(=O)C(=CNc2ccccn2)C(=O)C1,2.3356,1,4,4,59.06,34,68.9717,True,False,False,False,244.294,False,False,False,"InChI=1S/C14H16N2O2/c1-14(2)7-11(17)10(12(18)8-14)9-16-13-5-3-4-6-15-13/h3-6,9H,7-8H2,1-2H3,(H,15,16)",LIPQYHVPQLHOOE-UHFFFAOYSA-N,783500,nan
9931,Nc1cc(=O)[nH]c(-c2ccccn2)n1,0.4141,2,4,2,84.66,22,52.5011,True,False,False,False,188.19,False,False,False,"InChI=1S/C9H8N4O/c10-7-5-8(14)13-9(12-7)6-3-1-2-4-11-6/h1-5H,(H3,10,12,13,14)",GLIITTLXUIDKLK-UHFFFAOYSA-N,2745847,nan
9975,CCCc1cc(C(N)=S)ccn1,1.6683,1,2,4,38.91,24,54.1194,True,False,False,False,180.276,False,False,False,"InChI=1S/C9H12N2S/c1-2-3-8-6-7(9(10)12)4-5-11-8/h4-6H,2-3H2,1H3,(H2,10,12)",VRDIULHPQTYCLN-UHFFFAOYSA-N,4967,nan
9984,FC(F)Oc1cc(C(F)(F)F)cnc1CCl,3.4406,0,2,3,22.12,21,45.428,True,False,False,False,261.577,False,False,False,"InChI=1S/C8H5ClF5NO/c9-2-5-6(16-7(10)11)1-4(3-15-5)8(12,13)14/h1,3,7H,2H2",KLQFXBDBASPIDE-UHFFFAOYSA-N,131307507,nan
10056,CC1CC(Oc2cc(/C(N)=N/O)ccn2)CC(C)(C)C1,2.7697,2,4,7,80.73,43,77.9599,True,False,False,False,277.368,False,False,False,"InChI=1S/C15H23N3O2/c1-10-6-12(9-15(2,3)8-10)20-13-7-11(4-5-17-13)14(16)18-19/h4-5,7,10,12,19H,6,8-9H2,1-3H3,(H2,16,18)",IPEFHVQHULDXKN-UHFFFAOYSA-N,136212291,nan
10120,Cc1cc(O)nc(-c2ccccn2)n1,1.55262,1,4,3,58.9,23,51.6648,True,False,False,False,187.202,False,False,False,"InChI=1S/C10H9N3O/c1-7-6-9(14)13-10(12-7)8-4-2-3-5-11-8/h2-6H,1H3,(H,12,13,14)",DQUCWFVHSABFCW-UHFFFAOYSA-N,2725927,nan
10500,O=c1cc(-c2cncc(Br)c2)nc[nH]1,1.5944,1,3,1,58.64,20,55.7887,True,False,False,False,252.071,False,False,False,"InChI=1S/C9H6BrN3O/c10-7-1-6(3-11-4-7)8-2-9(14)13-5-12-8/h1-5H,(H,12,13,14)",VIZIJFVCKLKYAI-UHFFFAOYSA-N,97181198,nan
10509,CCCCc1c(O)nc(C)nc1/C=C/c1cccnc1,3.39862,1,4,8,58.9,39,80.2108,True,False,False,False,269.348,False,False,False,"InChI=1S/C16H19N3O/c1-3-4-7-14-15(18-12(2)19-16(14)20)9-8-13-6-5-10-17-11-13/h5-6,8-11H,3-4,7H2,1-2H3,(H,18,19,20)/b9-8+",POAZBWMYOWLXBI-CMDGGOBGSA-N,45061178,nan
10659,O=c1[nH]c(C2CCCO2)nc2cnccc12,1.1696,1,4,1,67.87,27,58.0857,True,False,False,False,217.228,False,False,False,"InChI=1S/C11H11N3O2/c15-11-7-3-4-12-6-8(7)13-10(14-11)9-2-1-5-16-9/h3-4,6,9H,1-2,5H2,(H,13,14,15)",BVIMDTLSDVRSCL-UHFFFAOYSA-N,102548123,nan
10774,Oc1cc(O)c(-c2cccc(C(F)(F)F)c2)c(Cl)n1,3.832,2,3,3,53.35,26,63.0146,True,False,False,False,289.64,False,False,False,"InChI=1S/C12H7ClF3NO2/c13-11-10(8(18)5-9(19)17-11)6-2-1-3-7(4-6)12(14,15)16/h1-5H,(H2,17,18,19)",UDXLBWATOSGLQT-UHFFFAOYSA-N,1487309,nan
10801,O=C1N=C(Nc2cccc(O)c2)S/C1=C\c1ccncc1,2.8696,2,5,3,74.58,32,83.9765,True,False,False,False,297.339,False,False,False,"InChI=1S/C15H11N3O2S/c19-12-3-1-2-11(9-12)17-15-18-14(20)13(21-15)8-10-4-6-16-7-5-10/h1-9,19H,(H,17,18,20)/b13-8-",FUGPKGHZQHIJDW-JYRVWZFOSA-N,27409187,nan
10849,O=C(Nc1cccnc1)/C(=N/O)C(=O)c1ccccc1,1.7332,2,5,5,91.65,31,72.8607,True,False,False,False,269.26,False,False,False,"InChI=1S/C14H11N3O3/c18-13(10-5-2-1-3-6-10)12(17-20)14(19)16-11-7-4-8-15-9-11/h1-9,20H,(H,16,19)/b17-12+",YGTFPZMWQMOGLG-SFQUDFHCSA-N,6409067,nan
11011,Nc1ccc2[nH]c3ccccc3cc-2c1=O,2.2151,2,2,1,58.88,26,65.6031,True,False,False,False,210.236,False,False,False,"InChI=1S/C13H10N2O/c14-10-5-6-12-9(13(10)16)7-8-3-1-2-4-11(8)15-12/h1-7,15H,14H2",PCWATJIJSWMYCI-UHFFFAOYSA-N,19002491,nan
11221,Cc1cc2c(C)nc(NN=Cc3cccnc3)nc2o1,2.68064,1,6,5,76.2,33,76.7317,True,False,False,False,267.292,False,False,False,"InChI=1S/C14H13N5O/c1-9-6-12-10(2)17-14(18-13(12)20-9)19-16-8-11-4-3-5-15-7-11/h3-8H,1-2H3,(H,17,18,19)",GNAFAGHTFIEFMA-UHFFFAOYSA-N,25418249,nan
11382,c1cnc2[nH]cc(C3CCNCC3)c2c1,2.0299,2,2,1,40.71,30,60.9384,True,False,False,False,201.273,False,False,False,"InChI=1S/C12H15N3/c1-2-10-11(8-15-12(10)14-5-1)9-3-6-13-7-4-9/h1-2,5,8-9,13H,3-4,6-7H2,(H,14,15)",OUNKWLVIJBPPIF-UHFFFAOYSA-N,1519428,nan
11396,COC(=O)c1cnc2[nH]ncc2c1O,0.4501,2,5,3,88.1,21,46.893,True,False,False,False,193.162,False,False,False,"InChI=1S/C8H7N3O3/c1-14-8(13)5-2-9-7-4(6(5)12)3-10-11-7/h2-3H,1H3,(H2,9,10,11,12)",OJKHZTKVJVYZFX-UHFFFAOYSA-N,73553596,nan
11398,NC(=S)Cc1ccc2ccccc2n1,2.0634,1,2,2,38.91,24,62.2324,True,False,False,False,202.282,False,False,False,"InChI=1S/C11H10N2S/c12-11(14)7-9-6-5-8-3-1-2-4-10(8)13-9/h1-6H,7H2,(H2,12,14)",PODSWTXEDPFIJH-UHFFFAOYSA-N,134958,nan
11521,NC(=S)NN=Cc1ncccc1N,-0.1691,3,4,3,89.32,22,56.1645,True,False,False,False,195.251,False,False,False,"InChI=1S/C7H9N5S/c8-5-2-1-3-10-6(5)4-11-12-7(9)13/h1-4H,8H2,(H3,9,12,13)",XMYKNCNAZKMVQN-UHFFFAOYSA-N,126752,nan
11611,FC(F)Oc1ccc(C(F)(F)F)c(CCl)n1,3.4406,0,2,3,22.12,21,45.428,True,False,False,False,261.577,False,False,False,"InChI=1S/C8H5ClF5NO/c9-3-5-4(8(12,13)14)1-2-6(15-5)16-7(10)11/h1-2,7H,3H2",FJMDDIBCSFNTTO-UHFFFAOYSA-N,131314118,nan
11668,Cc1nc2nc(C)c(C(=O)O)cc2c(=O)[nH]1,0.63314,2,5,3,95.94,25,56.592,True,False,False,False,219.2,False,False,False,"InChI=1S/C10H9N3O3/c1-4-6(10(15)16)3-7-8(11-4)12-5(2)13-9(7)14/h3H,1-2H3,(H,15,16)(H,11,12,13,14)",ULJKSJMGJXQHPX-UHFFFAOYSA-N,66489670,nan
11799,COc1cnc(C)cc1CBr,2.29352,0,2,4,22.12,21,48.157,True,False,False,False,216.078,False,False,False,"InChI=1S/C8H10BrNO/c1-6-3-7(4-9)8(11-2)5-10-6/h3,5H,4H2,1-2H3",KZHXFWFQAWZYTL-UHFFFAOYSA-N,130779336,nan
12012,CNC(=S)NNC(=O)c1ccncc1,-0.1797,3,3,2,66.05,24,56.4966,True,False,False,False,210.262,False,False,False,"InChI=1S/C8H10N4OS/c1-9-8(14)12-11-7(13)6-2-4-10-5-3-6/h2-5H,1H3,(H,11,13)(H2,9,12,14)",LUNYRIVCWOGWDT-UHFFFAOYSA-N,305130,nan
12060,O=C1N/C(=N/c2ccc(F)cc2)S/C1=C/c1cccnc1,3.1123,1,4,2,54.35,31,81.4427,True,False,False,False,299.33,False,False,False,"InChI=1S/C15H10FN3OS/c16-11-3-5-12(6-4-11)18-15-19-14(20)13(21-15)8-10-2-1-7-17-9-10/h1-9H,(H,18,19,20)/b13-8+",WFPQWUZDCOPHLE-MDWZMJQESA-N,931071,nan
12085,O=c1[nH]cnc(-c2ccncc2)c1Br,1.5944,1,3,1,58.64,20,55.7887,True,False,False,False,252.071,False,False,False,"InChI=1S/C9H6BrN3O/c10-7-8(12-5-13-9(7)14)6-1-3-11-4-2-6/h1-5H,(H,12,13,14)",GUDNADFRMNPJRJ-UHFFFAOYSA-N,97181132,nan
12131,CCCCN1CCc2cc(-c3ccncc3)ccc21,3.9112,0,2,5,16.13,39,80.498,True,False,False,False,252.361,False,False,False,"InChI=1S/C17H20N2/c1-2-3-11-19-12-8-16-13-15(4-5-17(16)19)14-6-9-18-10-7-14/h4-7,9-10,13H,2-3,8,11-12H2,1H3",MLVJELPVQNFUSO-UHFFFAOYSA-N,44720885,nan
12144,Nc1cc(=O)[nH]c2nc(-c3cccnc3)nn12,0.0618,2,6,2,101.96,25,61.2511,True,False,False,False,228.215,False,False,False,"InChI=1S/C10H8N6O/c11-7-4-8(17)13-10-14-9(15-16(7)10)6-2-1-3-12-5-6/h1-5H,11H2,(H,13,14,15,17)",NKBRYZHGIUBFMN-UHFFFAOYSA-N,53215446,nan
12569,CCOC(=O)c1c(O)cc(O)nc1C(F)(F)F,1.6883,2,5,5,79.65,25,48.5251,True,False,False,False,251.16,False,False,False,"InChI=1S/C9H8F3NO4/c1-2-17-8(16)6-4(14)3-5(15)13-7(6)9(10,11)12/h3H,2H2,1H3,(H2,13,14,15)",QZEXFLHXHOIAAK-UHFFFAOYSA-N,13726783,nan
12625,O=S1(=O)N=C(NCc2cccnc2)c2ccccc21,1.3203,1,4,2,71.42,30,71.2415,True,False,False,False,273.317,False,False,False,"InChI=1S/C13H11N3O2S/c17-19(18)12-6-2-1-5-11(12)13(16-19)15-9-10-4-3-7-14-8-10/h1-8H,9H2,(H,15,16)",VFXHVVNSWIEQEA-UHFFFAOYSA-N,41173237,nan
12628,O=C(NC(=S)Nc1ccccn1)c1ccccc1,2.2084,2,3,2,54.02,29,74.3659,True,False,False,False,257.318,False,False,False,"InChI=1S/C13H11N3OS/c17-12(10-6-2-1-3-7-10)16-13(18)15-11-8-4-5-9-14-11/h1-9H,(H2,14,15,16,17,18)",PNBLAGJAUXZQTL-UHFFFAOYSA-N,300885,nan
12684,C=C(C)Cc1c(O)ncnc1/C=C/c1cccnc1,2.8662,1,4,6,58.9,34,75.3798,True,False,False,False,253.305,False,False,False,"InChI=1S/C15H15N3O/c1-11(2)8-13-14(17-10-18-15(13)19)6-5-12-4-3-7-16-9-12/h3-7,9-10H,1,8H2,2H3,(H,17,18,19)/b6-5+",NNFJXNRTIRLBPV-AATRIKPKSA-N,45063929,nan
13033,CC(C)C(N)c1nc2cnccc2c(=O)[nH]1,0.9739,2,4,5,84.66,30,61.9251,True,False,False,False,218.26,False,False,False,"InChI=1S/C11H14N4O/c1-6(2)9(12)10-14-8-5-13-4-3-7(8)11(16)15-10/h3-6,9H,12H2,1-2H3,(H,14,15,16)",XHJMUDWMNMJJQQ-UHFFFAOYSA-N,102548893,nan
13036,Cc1ccc(NC(N)=S)nc1,1.04552,2,2,2,50.94,20,49.3821,True,False,False,False,167.237,False,False,False,"InChI=1S/C7H9N3S/c1-5-2-3-6(9-4-5)10-7(8)11/h2-4H,1H3,(H3,8,9,10,11)",GEYNPFWKKUCREI-UHFFFAOYSA-N,297127,nan
13326,COC(=O)Cc1cnc(C#N)cc1N,0.25098,1,5,4,89.0,23,49.0844,True,False,False,False,191.19,False,False,False,"InChI=1S/C9H9N3O2/c1-14-9(13)2-6-5-12-7(4-10)3-8(6)11/h3,5H,2H2,1H3,(H2,11,12)",JEAJIRLSLOKCIA-UHFFFAOYSA-N,130968134,nan
13811,O=C(O)c1cc(=O)[nH]c(-c2ccncc2)n1,0.5301,2,5,2,95.94,23,55.048,True,False,False,False,217.184,False,False,False,"InChI=1S/C10H7N3O3/c14-8-5-7(10(15)16)12-9(13-8)6-1-3-11-4-2-6/h1-5H,(H,15,16)(H,12,13,14)",TYQKARYTPXYTEL-UHFFFAOYSA-N,13051837,nan
14001,Cc1ccc(-c2nc(-c3cccnc3)cc(=O)[nH]2)cc1,2.80732,1,3,3,58.64,33,78.2617,True,False,False,False,263.3,False,False,False,"InChI=1S/C16H13N3O/c1-11-4-6-12(7-5-11)16-18-14(9-15(20)19-16)13-3-2-8-17-10-13/h2-10H,1H3,(H,18,19,20)",PKDIEDNLOXHTPY-UHFFFAOYSA-N,1478716,nan
14240,FC(F)Oc1ncc(C(F)(F)F)cc1CCl,3.4406,0,2,3,22.12,21,45.428,True,False,False,False,261.577,False,False,False,"InChI=1S/C8H5ClF5NO/c9-2-4-1-5(8(12,13)14)3-15-6(4)16-7(10)11/h1,3,7H,2H2",JPPAQZOJENUFRX-UHFFFAOYSA-N,131314117,nan
14247,Cc1cc(-c2ccccc2)c2c(n1)sc1c(=O)[nH]cnc12,3.50822,1,4,2,58.64,32,85.7147,True,False,False,False,293.351,False,False,False,"InChI=1S/C16H11N3OS/c1-9-7-11(10-5-3-2-4-6-10)12-13-14(21-16(12)19-9)15(20)18-8-17-13/h2-8H,1H3,(H,17,18,20)",YZJZGPVDJNPLOM-UHFFFAOYSA-N,22425549,nan
14446,COc1cc(CO)ncc1C(F)(F)F,1.6013,1,3,4,42.35,22,41.7138,True,False,False,False,207.151,False,False,False,"InChI=1S/C8H8F3NO2/c1-14-7-2-5(4-13)12-3-6(7)8(9,10)11/h2-3,13H,4H2,1H3",GFGVTHVJWNNHID-UHFFFAOYSA-N,130837127,nan
14496,CCCCCc1c(O)nc(C)nc1/C=C/c1cccnc1,3.78872,1,4,9,58.9,42,84.8278,True,False,False,False,283.375,False,False,False,"InChI=1S/C17H21N3O/c1-3-4-5-8-15-16(19-13(2)20-17(15)21)10-9-14-7-6-11-18-12-14/h6-7,9-12H,3-5,8H2,1-2H3,(H,19,20,21)/b10-9+",BAXYRQQDPGNODO-MDZDMXLPSA-N,45061187,nan
14733,Cc1cc(=O)c2c(C)[nH]n(-c3ccccc3)c-2n1,2.28224,1,3,3,50.68,31,70.2807,True,False,False,False,239.278,False,False,False,"InChI=1S/C14H13N3O/c1-9-8-12(18)13-10(2)16-17(14(13)15-9)11-6-4-3-5-7-11/h3-8,16H,1-2H3",NEPHGBQXBHZMGJ-UHFFFAOYSA-N,340896,nan
14883,O=C(c1c[nH]c2ncccc12)C(F)(F)F,2.3079,1,2,1,45.75,20,46.4792,True,False,False,False,214.146,False,False,False,"InChI=1S/C9H5F3N2O/c10-9(11,12)7(15)6-4-14-8-5(6)2-1-3-13-8/h1-4H,(H,13,14)",FWZGJOLNEDZEEC-UHFFFAOYSA-N,2768390,nan
14888,O=[N+]([O-])c1cccnc1Sc1nnc(S)s1,2.2812,1,8,4,81.81,20,62.1754,True,False,False,False,272.336,False,False,False,"InChI=1S/C7H4N4O2S3/c12-11(13)4-2-1-3-8-5(4)15-7-10-9-6(14)16-7/h1-3H,(H,9,14)",APDJURLGRLOQEF-UHFFFAOYSA-N,153458,nan
14963,Oc1cc(/C=C/c2ccncc2)ncn1,1.7476,1,4,3,58.9,24,56.8618,True,False,False,False,199.213,False,False,False,"InChI=1S/C11H9N3O/c15-11-7-10(13-8-14-11)2-1-9-3-5-12-6-4-9/h1-8H,(H,13,14,15)/b2-1+",SWNFYOVFPPVCFY-OWOJBTEDSA-N,45063624,nan
15058,CCCNC(c1ccncc1)C(F)(F)F,2.6846,1,2,5,24.92,28,51.3267,True,False,False,False,218.222,False,False,False,"InChI=1S/C10H13F3N2/c1-2-5-15-9(10(11,12)13)8-3-6-14-7-4-8/h3-4,6-7,9,15H,2,5H2,1H3",MMWDLAYCENURBW-UHFFFAOYSA-N,66465868,nan
15233,Cc1cc(C)c2[nH]c(N)nc2n1,1.15694,2,3,3,67.59,22,47.7751,True,False,False,False,162.196,False,False,False,"InChI=1S/C8H10N4/c1-4-3-5(2)10-7-6(4)11-8(9)12-7/h3H,1-2H3,(H3,9,10,11,12)",ARWZSXPEMUKYIQ-UHFFFAOYSA-N,179899,nan
15508,O=C1Nc2ccccc2N/C1=C\C(=O)c1ccncc1,2.2124,2,4,2,71.09,31,75.3449,True,False,False,False,265.272,False,False,False,"InChI=1S/C15H11N3O2/c19-14(10-5-7-16-8-6-10)9-13-15(20)18-12-4-2-1-3-11(12)17-13/h1-9,17H,(H,18,20)/b13-9-",SNCDBEDTECAPOD-LCYFTJDESA-N,12338912,nan
15565,O=c1cc(Cl)nc(-c2ccncc2)[nH]1,1.4853,1,3,1,58.64,20,53.0987,True,False,False,False,207.62,False,False,False,"InChI=1S/C9H6ClN3O/c10-7-5-8(14)13-9(12-7)6-1-3-11-4-2-6/h1-5H,(H,12,13,14)",KWXBUMYDOWNVTQ-UHFFFAOYSA-N,99989803,nan
15571,NCCc1c[nH]c2ncccc12,1.0641,2,2,3,54.7,23,48.8521,True,False,False,False,161.208,False,False,False,"InChI=1S/C9H11N3/c10-4-3-7-6-12-9-8(7)2-1-5-11-9/h1-2,5-6H,3-4,10H2,(H,11,12)",CSBXAJWXUYDUTM-UHFFFAOYSA-N,151222,nan
15612,CCc1c(O)ncnc1/C=C/c1cccnc1,2.31,1,4,5,58.9,30,66.2398,True,False,False,False,227.267,False,False,False,"InChI=1S/C13H13N3O/c1-2-11-12(15-9-16-13(11)17)6-5-10-4-3-7-14-8-10/h3-9H,2H2,1H3,(H,15,16,17)/b6-5+",CFRWKMPTJGQYCW-AATRIKPKSA-N,45063817,nan
15664,Cc1ccc(-c2nc(-c3ccc(O)cc3)no2)cn1,2.81262,1,5,4,72.04,30,69.3668,True,False,False,False,253.261,False,False,False,"InChI=1S/C14H11N3O2/c1-9-2-3-11(8-15-9)14-16-13(17-19-14)10-4-6-12(18)7-5-10/h2-8,18H,1H3",JNPPEEPOGSDWKU-UHFFFAOYSA-N,136212306,nan
15724,O=CC(=NNc1ccc(Cl)cc1)C(=O)c1ccncc1,2.5847,1,5,5,71.42,30,77.1412,True,False,False,False,287.706,False,False,False,"InChI=1S/C14H10ClN3O2/c15-11-1-3-12(4-2-11)17-18-13(9-19)14(20)10-5-7-16-8-6-10/h1-9,17H",RWXYPHWLEQOLNY-UHFFFAOYSA-N,3777753,nan
15851,CCOc1ncc(C=O)cc1Cl,1.9462,0,3,4,39.19,20,45.8035,True,False,False,False,185.61,False,False,False,"InChI=1S/C8H8ClNO2/c1-2-12-8-7(9)3-6(5-11)4-10-8/h3-5H,2H2,1H3",IKZZNCJNSMHIQT-UHFFFAOYSA-N,122200779,nan
15949,Oc1nc(-c2cccnc2)nc2c1CCCC2,2.123,1,4,2,58.9,30,63.5698,True,False,False,False,227.267,False,False,False,"InChI=1S/C13H13N3O/c17-13-10-5-1-2-6-11(10)15-12(16-13)9-4-3-7-14-8-9/h3-4,7-8H,1-2,5-6H2,(H,15,16,17)",OVBRTGUDETWPOT-UHFFFAOYSA-N,51046259,nan
16048,O=C(O)c1nc(-c2ccccn2)nc(O)c1O,0.648,3,7,4,116.43,24,55.5519,True,False,False,False,233.183,False,False,False,"InChI=1S/C10H7N3O4/c14-7-6(10(16)17)12-8(13-9(7)15)5-3-1-2-4-11-5/h1-4,14H,(H,16,17)(H,12,13,15)",GHGUXTXCARENBN-UHFFFAOYSA-N,3013037,nan
16067,Cc1cccc(NC(N)=S)n1,1.04552,2,2,2,50.94,20,49.3821,True,False,False,False,167.237,False,False,False,"InChI=1S/C7H9N3S/c1-5-3-2-4-6(9-5)10-7(8)11/h2-4H,1H3,(H3,8,9,10,11)",LEWSYNYKTYXRHP-UHFFFAOYSA-N,317489,nan
16189,Cc1nc2[nH]c(CC(=O)O)nc2cc1Br,1.65592,2,4,3,78.87,23,57.6655,True,False,False,False,270.086,False,False,False,"InChI=1S/C9H8BrN3O2/c1-4-5(10)2-6-9(11-4)13-7(12-6)3-8(14)15/h2H,3H2,1H3,(H,14,15)(H,11,12,13)",JVPTYCBQSGBKIG-UHFFFAOYSA-N,2050119,nan
16242,Nc1nc2nc(N3CCOCC3)[nH]c(=O)c2cc1C(=O)O,-0.5649,3,8,3,134.43,34,74.5624,True,False,False,False,291.267,False,False,False,"InChI=1S/C12H13N5O4/c13-8-6(11(19)20)5-7-9(14-8)15-12(16-10(7)18)17-1-3-21-4-2-17/h5H,1-4H2,(H,19,20)(H3,13,14,15,16,18)",RMXIDNNIVRAGPH-UHFFFAOYSA-N,66490306,nan
16378,CC(C)c1cc(O)nc(-c2ccccn2)n1,2.3676,1,4,5,58.9,29,61.0168,True,False,False,False,215.256,False,False,False,"InChI=1S/C12H13N3O/c1-8(2)10-7-11(16)15-12(14-10)9-5-3-4-6-13-9/h3-8H,1-2H3,(H,14,15,16)",WJLXESNJNUAXSW-UHFFFAOYSA-N,43557103,nan
16454,O=C1C=C/C(=N\Nc2ccccc2[N+](=O)[O-])c2cccnc21,2.5585,1,6,3,97.49,32,80.9636,True,False,False,False,294.27,False,False,False,"InChI=1S/C15H10N4O3/c20-14-8-7-11(10-4-3-9-16-15(10)14)17-18-12-5-1-2-6-13(12)19(21)22/h1-9,18H/b17-11+",VZLSYIIBJWSTLT-GZTJUZNOSA-N,6116228,nan
16627,Nc1nc(=O)c2cnc3c(Cl)cccc3c2[nH]1,1.7069,2,4,1,84.66,24,67.0871,True,False,False,False,246.657,False,False,False,"InChI=1S/C11H7ClN4O/c12-7-3-1-2-5-8-6(4-14-9(5)7)10(17)16-11(13)15-8/h1-4H,(H3,13,15,16,17)",CQTFRJZUOWJIMU-UHFFFAOYSA-N,33778830,nan
17105,CSCc1cc(O)nc(-c2cccnc2)n1,2.1072,1,5,5,58.9,27,64.1468,True,False,False,False,233.296,False,False,False,"InChI=1S/C11H11N3OS/c1-16-7-9-5-10(15)14-11(13-9)8-3-2-4-12-6-8/h2-6H,7H2,1H3,(H,13,14,15)",ZFHYHQZFXPSTER-UHFFFAOYSA-N,4552463,nan
