,SMILES,Crippen_logp,NumHDonors,NumHAcceptors,NumRotatableBonds,TPSA,natoms,refractivity,HAS_PYR_H,HAS_MULTIPLE_PYR,HAS_FRAGMENTS,HAS_BAD_NITROGEN,MOL_WT,HAS_SULFONYL_HALIDE,HAS_ACID_HALIDES,HAS_PYRADINONE,INCHI,INCHI_KEY,CID,VENDORS
2760,Cc1nc(-c2ccccn2)nc(O)c1Cl,2.20602,1,4,3,58.9,23,56.6748,True,False,False,False,221.647,False,False,False,"InChI=1S/C10H8ClN3O/c1-6-8(11)10(15)14-9(13-6)7-4-2-3-5-12-7/h2-5H,1H3,(H,13,14,15)",OJQCKFYDDABJEA-UHFFFAOYSA-N,2726273,nan
2919,Cc1ccnc(C(F)(F)C(F)(F)C(F)(F)F)c1,3.67942,0,1,3,12.89,23,43.87,True,False,False,False,261.14,False,False,False,"InChI=1S/C9H6F7N/c1-5-2-3-17-6(4-5)7(10,11)8(12,13)9(14,15)16/h2-4H,1H3",XZSUCWKUIQFCSG-UHFFFAOYSA-N,44721274,nan
2922,O=C(NN/C=C1\OC(=O)c2ccccc21)c1ccncc1,1.485,2,5,3,80.32,32,74.6734,True,False,False,False,281.271,False,False,False,"InChI=1S/C15H11N3O3/c19-14(10-5-7-16-8-6-10)18-17-9-13-11-3-1-2-4-12(11)15(20)21-13/h1-9,17H,(H,18,19)/b13-9-",WKTKIOFQGCXQHW-LCYFTJDESA-N,5524149,nan
3017,Fc1ccc(SCc2ccccc2)c2ncccc12,4.6662,0,2,3,12.89,31,77.704,True,False,False,False,269.344,False,False,False,"InChI=1S/C16H12FNS/c17-14-8-9-15(16-13(14)7-4-10-18-16)19-11-12-5-2-1-3-6-12/h1-10H,11H2",YJWCPTDXURPGTN-UHFFFAOYSA-N,44720816,nan
3063,NC(C(=O)O)c1c[nH]c2ncccc12,0.6473,3,4,3,92.0,23,50.6579,True,False,False,False,191.19,False,False,False,"InChI=1S/C9H9N3O2/c10-7(9(13)14)6-4-12-8-5(6)2-1-3-11-8/h1-4,7H,10H2,(H,11,12)(H,13,14)",JAOJSANZQPPJLZ-UHFFFAOYSA-N,3413550,nan
3088,FC(F)Oc1cnc(C(F)(F)F)cc1CCl,3.4406,0,2,3,22.12,21,45.428,True,False,False,False,261.577,False,False,False,"InChI=1S/C8H5ClF5NO/c9-2-4-1-6(8(12,13)14)15-3-5(4)16-7(10)11/h1,3,7H,2H2",FOTKFWWPDKTEDQ-UHFFFAOYSA-N,131338014,nan
3228,C/C=C/CC(C/C=C/C)c1cccnc1,4.0976,0,1,7,12.89,34,65.84,True,False,False,False,201.313,False,False,False,"InChI=1S/C14H19N/c1-3-5-8-13(9-6-4-2)14-10-7-11-15-12-14/h3-7,10-13H,8-9H2,1-2H3/b5-3+,6-4+",ABFSYRDFRLQWTR-GGWOSOGESA-N,44720846,nan
3252,Cc1nc2nc(N3CCCC3)[nH]c(=O)c2cc1C(=O)O,0.92492,2,6,3,99.18,34,73.302,True,False,False,False,274.28,False,False,False,"InChI=1S/C13H14N4O3/c1-7-8(12(19)20)6-9-10(14-7)15-13(16-11(9)18)17-4-2-3-5-17/h6H,2-5H2,1H3,(H,19,20)(H,14,15,16,18)",KCTFBGGNAYSUJM-UHFFFAOYSA-N,66489658,nan
3335,CC1(C)CC(=O)C(=CNc2ncccc2C(=O)O)C(=O)C1,2.0338,2,6,5,96.36,37,75.931,True,False,False,False,288.303,False,False,False,"InChI=1S/C15H16N2O4/c1-15(2)6-11(18)10(12(19)7-15)8-17-13-9(14(20)21)4-3-5-16-13/h3-5,8H,6-7H2,1-2H3,(H,16,17)(H,20,21)",RTWNQIWMUSAOOR-UHFFFAOYSA-N,755818,nan
3509,Cn1c(CCC(=N)NO)nc2cccnc21,0.85697,3,5,5,86.82,29,59.4789,True,False,False,False,219.248,False,False,False,"InChI=1S/C10H13N5O/c1-15-9(5-4-8(11)14-16)13-7-3-2-6-12-10(7)15/h2-3,6,16H,4-5H2,1H3,(H2,11,14)",PKUDGUCHUVEQET-UHFFFAOYSA-N,14319924,nan
