SMILES,Crippen_logp,NumHDonors,NumHAcceptors,NumRotatableBonds,TPSA,natoms,refractivity,HAS_PYR_H,HAS_MULTIPLE_PYR,HAS_FRAGMENTS,HAS_BAD_NITROGEN,MOL_WT,HAS_SULFONYL_HALIDE,HAS_ACID_HALIDES,HAS_PYRADINONE,INCHI,INCHI_KEY,CID
CCOC(=O)Cc1cncc(OC(F)(F)F)c1,2.0858,0,4,5,48.42,27,51.25700000000001,True,False,False,False,249.18800000000005,False,False,False,"InChI=1S/C10H10F3NO3/c1-2-16-9(15)4-7-3-8(6-14-5-7)17-10(11,12)13/h3,5-6H,2,4H2,1H3",JYCCWIOVTQCYSX-UHFFFAOYSA-N,nan
COC(=O)Cc1cc(N)ncc1C(F)(F)F,1.3981,1,4,4,65.21000000000001,25,49.3714,True,False,False,False,234.17700000000005,False,False,False,"InChI=1S/C9H9F3N2O2/c1-16-8(15)3-5-2-7(13)14-4-6(5)9(10,11)12/h2,4H,3H2,1H3,(H2,13,14)",IHCHLMUDLSBVOO-UHFFFAOYSA-N,nan
O=c1[nH]c(Nc2ccccn2)nc2c1CCC2,1.3972,2,4,2,70.67,29,64.40240000000001,True,False,False,False,228.25500000000008,False,False,False,"InChI=1S/C12H12N4O/c17-11-8-4-3-5-9(8)14-12(16-11)15-10-6-1-2-7-13-10/h1-2,6-7H,3-5H2,(H2,13,14,15,16,17)",RSVFZVOIYXTOTI-UHFFFAOYSA-N,nan
O=C(CCl)/N=c1\ccccn1C(=O)CCl,1.0332,0,3,2,51.43,23,57.06850000000002,True,False,False,False,247.08100000000007,False,False,False,"InChI=1S/C9H8Cl2N2O2/c10-5-8(14)12-7-3-1-2-4-13(7)9(15)6-11/h1-4H,5-6H2/b12-7+",WNCQRTBCRPNCAP-KPKJPENVSA-N,nan
COC(=O)c1scc2c(O)cc(C(F)(F)F)nc12,2.807300000000001,1,5,3,59.42,24,57.62630000000001,True,False,False,False,277.22299999999984,False,False,False,"InChI=1S/C10H6F3NO3S/c1-17-9(16)8-7-4(3-18-8)5(15)2-6(14-7)10(11,12)13/h2-3,15H,1H3",DFQIXQDYVCVGCQ-UHFFFAOYSA-N,nan
O=C(O)c1ccc(/N=N/c2ccc(O)c3ncccc23)cc1,4.054000000000001,2,6,4,95.14,33,80.98510000000002,True,False,False,False,293.2819999999998,False,False,False,"InChI=1S/C16H11N3O3/c20-14-8-7-13(12-2-1-9-17-15(12)14)19-18-11-5-3-10(4-6-11)16(21)22/h1-9,20H,(H,21,22)/b19-18+",WHYSDEAUKYVHBQ-VHEBQXMUSA-N,nan
Cc1cccc(Nc2nc3c(c(=O)[nH]2)CCCC3)n1,2.09572,2,4,3,70.67,35,73.75640000000003,True,False,False,False,256.30900000000014,False,False,False,"InChI=1S/C14H16N4O/c1-9-5-4-8-12(15-9)17-14-16-11-7-3-2-6-10(11)13(19)18-14/h4-5,8H,2-3,6-7H2,1H3,(H2,15,16,17,18,19)",ZWLQUXFVLHIOHT-UHFFFAOYSA-N,nan
COC(=O)c1nc(OC(F)F)ccc1Cl,2.123,0,4,4,48.42,21,47.21850000000002,True,False,False,False,237.58900000000003,False,False,False,"InChI=1S/C8H6ClF2NO3/c1-14-7(13)6-4(9)2-3-5(12-6)15-8(10)11/h2-3,8H,1H3",HZKLAZFBHBQPFB-UHFFFAOYSA-N,nan
COc1ccc(C(=O)/C=C(\O)c2ccncc2)cc1,2.8720000000000008,1,4,6,59.42,32,72.16730000000003,True,False,False,False,255.27300000000008,False,False,False,"InChI=1S/C15H13NO3/c1-19-13-4-2-11(3-5-13)14(17)10-15(18)12-6-8-16-9-7-12/h2-10,18H,1H3/b15-10-",FQLRIKVWMMUKNQ-GDNBJRDFSA-N,nan
CCOC(=O)Nc1cccc(NC(=O)OCC)[n+]1[O-],1.4567999999999997,2,5,6,103.6,34,66.69140000000003,True,False,False,False,269.2569999999997,False,False,False,"InChI=1S/C11H15N3O5/c1-3-18-10(15)12-8-6-5-7-9(14(8)17)13-11(16)19-4-2/h5-7H,3-4H2,1-2H3,(H,12,15)(H,13,16)",DCGLGXUKOGQAQF-UHFFFAOYSA-N,nan
N[C@H]1CC[C@H](Oc2ccc(Cl)cn2)CC1,2.383700000000001,1,3,3,48.14,30,60.10640000000003,True,False,False,False,226.7070000000001,False,False,False,"InChI=1S/C11H15ClN2O/c12-8-1-6-11(14-7-8)15-10-4-2-9(13)3-5-10/h1,6-7,9-10H,2-5,13H2/t9-,10-",NFIWPKCXJQJXOJ-MGCOHNPYSA-N,nan
CCOC(=O)Cc1cnc2[nH]ccc2c1,1.6685,1,3,4,54.98,27,56.43070000000002,True,False,False,False,204.2290000000001,False,False,False,"InChI=1S/C11H12N2O2/c1-2-15-10(14)6-8-5-9-3-4-12-11(9)13-7-8/h3-5,7H,2,6H2,1H3,(H,12,13)",MJABDMKFGFEPKC-UHFFFAOYSA-N,nan
Cc1ccc(/N=C/c2c(CO)cnc(C)c2O)cc1,2.6469400000000007,2,4,7,65.71000000000001,35,74.99460000000002,True,False,False,False,256.3050000000001,False,False,False,"InChI=1S/C15H16N2O2/c1-10-3-5-13(6-4-10)17-8-14-12(9-18)7-16-11(2)15(14)19/h3-8,18-19H,9H2,1-2H3/b17-8+",FJJKDEMXNCWGJH-CAOOACKPSA-N,nan
CCOC(=O)Cc1cc(N)cc(C(F)(F)F)n1,1.7882,1,4,5,65.21000000000001,28,53.988400000000006,True,False,False,False,248.20400000000004,False,False,False,"InChI=1S/C10H11F3N2O2/c1-2-17-9(16)5-7-3-6(14)4-8(15-7)10(11,12)13/h3-4H,2,5H2,1H3,(H2,14,15)",RODHGTOEVOGZJE-UHFFFAOYSA-N,nan
