SMILES,INCHI,INCHI_KEY,CID,VENDORS
c1ccc(-c2cc3ccccc3[nH]2)cc1,"InChI=1S/C14H11N/c1-2-6-11(7-3-1)14-10-12-8-4-5-9-13(12)15-14/h1-10,15H",KLLLJCACIRKBDT-UHFFFAOYSA-N,13698.0,"['TimTec', 'Specs', 'AKos Consulting & Solutions', 'Ambinter', 'Combi-Blocks', 'Synthonix, Inc.', 'Enamine', 'Chemenu Inc.', 'ChemoSapiens', 'Starshine Chemical', 'Pi Chemicals', 'Mcule', 'AOBChem USA', '001Chemical', 'Thoreauchem', 'MolCore', 'Chem-Impex', 'Aladdin Scientific', 'Yuhao Chemical', 'Win-Win Chemical', 'Pharmacore Co., Limited', 'Hangzhou APIChem Technology', 'Accel Scientific', 'Cooke Chemical Co., Ltd', 'DSL Chemicals', 'Angene Chemical', 'Thermo Fisher Scientific', 'AbaChemScene', 'AppChem', '10X CHEM', 'Hairui Chemical', 'Sinfoo Biotech', 'eNovation Chemicals', 'TCI (Tokyo Chemical Industry)', 'Alfa Chemistry', 'Matrix Scientific', 'AstaTech, Inc.', 'Smolecule', 'AA BLOCKS', 'CymitQuimica', 'INTERBIOSCREEN', 'Fluorochem', 'BOC Sciences', 'BLD Pharm', 'Oakwood Products', 'MuseChem', 'abcr GmbH', 'Ambeed', 'A2B Chem', 'SynHet - Synthetic Heterocycles', 'CAPOT', 'eMolecules', 'Innovapharm', 'Vitas-M Laboratory', 'Key Organics/BIONET', 'OtavaChemicals', 'Life Chemicals', 'Glentham Life Sciences Ltd.', 'VladaChem', 'RR Scientific', 'Chem-Space.com Database', 'BenchChem', 'Molport', 'Sigma-Aldrich', 'Accela ChemBio Inc.', 'Debye Scientific Co., Ltd', 'ChemDiv', 'Santa Cruz Biotechnology, Inc.', 'Finetech Industry Limited', 'J&H Chemical Co.,ltd']"
Cc1ccc(-c2[c]c3[c][c][c][c]c3[nH]2)cc1,"InChI=1S/C15H8N/c1-11-6-8-12(9-7-11)15-10-13-4-2-3-5-14(13)16-15/h6-9,16H,1H3",RKWCTGZQLAGHRQ-UHFFFAOYSA-N,,
c1ccc2c(c1)Cn1c-2cc2ccccc21,"InChI=1S/C15H11N/c1-3-7-13-12(6-1)10-16-14-8-4-2-5-11(14)9-15(13)16/h1-9H,10H2",JJUQRPHMJPHFBH-UHFFFAOYSA-N,13207630.0,"['BLD Pharm', 'AppChem', 'Fluorochem', 'AstaTech, Inc.', 'Mcule', 'eNovation Chemicals', 'Activate Scientific', 'Ambeed', 'ChemoSapiens', 'AiFChem, an XtalPi Company', 'Combi-Blocks', 'abcr GmbH', 'Angene Chemical', 'CymitQuimica', 'A2B Chem', 'Accel Scientific', 'AA BLOCKS', 'Molport', 'EvitaChem', 'RR Scientific', 'Key Organics/BIONET', '10X CHEM', 'SynHet - Synthetic Heterocycles']"
Cn1c(-c2ccccc2)cc2ccccc21,"InChI=1S/C15H13N/c1-16-14-10-6-5-9-13(14)11-15(16)12-7-3-2-4-8-12/h2-11H,1H3",SFWZZSXCWQTORH-UHFFFAOYSA-N,77095.0,"['Combi-Blocks', 'AbaChemScene', 'Fluorochem', 'TimTec', 'AppChem', 'Angene Chemical', 'CymitQuimica', 'Debye Scientific Co., Ltd', 'Santa Cruz Biotechnology, Inc.', 'Enamine', 'BroadPharm', 'Pi Chemicals', 'Win-Win Chemical', 'MuseChem', 'Accela ChemBio Inc.', 'Sigma-Aldrich', 'Thermo Fisher Scientific', 'SynHet - Synthetic Heterocycles', 'Pharmacore Co., Limited', 'Key Organics/BIONET', 'VladaChem', 'Chemenu Inc.', 'Ambeed', 'Mcule', '10X CHEM', 'AKos Consulting & Solutions', 'Cooke Chemical Co., Ltd', 'CAPOT', 'INTERBIOSCREEN', 'AA BLOCKS', 'ChemoSapiens', 'Alfa Chemistry', 'Chem-Space.com Database', 'eNovation Chemicals', 'MolCore', 'Ambinter', 'Oakwood Products', 'Yuhao Chemical', 'Biosynth', 'A2B Chem', 'Thoreauchem', '001Chemical', 'Acmec Biochemical', 'BOC Sciences', 'BLD Pharm', 'Hangzhou APIChem Technology', 'Molport', 'Finetech Industry Limited', 'Vitas-M Laboratory', 'Chem-Impex', 'AstaTech, Inc.', 'J&H Chemical Co.,ltd', 'Shandong Benrite New Chemical Materials Co.,Ltd', 'abcr GmbH', 'Hairui Chemical', 'DSL Chemicals', 'Smolecule', 'Sinfoo Biotech', 'Accel Scientific', 'TCI (Tokyo Chemical Industry)', 'Activate Scientific', 'eMolecules', 'BenchChem', 'Aladdin Scientific', 'Specs', 'Starshine Chemical']"
Cc1ccc2cc(-c3ccccc3)[nH]c2c1,"InChI=1S/C15H13N/c1-11-7-8-13-10-15(16-14(13)9-11)12-5-3-2-4-6-12/h2-10,16H,1H3",WHOVJSPCXWJPBL-UHFFFAOYSA-N,261513.0,"['J&H Chemical Co.,ltd', 'SynHet - Synthetic Heterocycles', 'AA BLOCKS', 'Molport', 'Amfluoro', 'Combi-Blocks', 'AstaTech, Inc.', 'Alfa Chemistry', 'RR Scientific', 'BenchChem', 'Synblock Inc', 'BLD Pharm', 'Smolecule', 'Finetech Industry Limited', 'Angene Chemical', 'eMolecules', '10X CHEM', 'ChemShuttle', 'Hairui Chemical', '001Chemical', 'Activate Scientific', 'TimTec', 'Accela ChemBio Inc.', 'ChemBridge', 'Chem-Space.com Database', 'abcr GmbH', 'ChemDiv', 'Starshine Chemical', 'CymitQuimica', 'BOC Sciences', 'Chemenu Inc.', 'Mcule', 'Key Organics/BIONET', 'Ambeed', 'Ambinter', 'AKos Consulting & Solutions', 'Vitas-M Laboratory', 'Debye Scientific Co., Ltd', 'AbaChemScene', 'A2B Chem', 'CAPOT', 'eNovation Chemicals', 'Hoffman Fine Chemicals', 'ChemoSapiens']"
O=C(Cl)C(Cl)Cl,InChI=1S/C2HCl3O/c3-1(4)2(5)6/h1H,FBCCMZVIWNDFMO-UHFFFAOYSA-N,6593.0,"['Chem-Space.com Database', 'ChemFish Tokyo Co., Ltd.', 'Enamine', 'Aladdin Scientific', 'Cangzhou Enke Pharma Tech Co.,Ltd.', 'Hunan Chemfish Pharmaceutical Co., Ltd.', 'Matrix Scientific', 'eMolecules', 'Biosynth', 'BenchChem', 'Sinfoo Biotech', 'Life Chemicals', 'Angene Chemical', 'LGC Standards', 'AKos Consulting & Solutions', 'Key Organics/BIONET', 'A2B Chem', 'abcr GmbH', 'CATO Research Chemicals Inc.', 'Smolecule', 'Sigma-Aldrich', 'Fluorochem', 'Starshine Chemical', 'Ambinter', '001Chemical', 'AppChem', 'Molport', 'MuseChem', 'Santa Cruz Biotechnology, Inc.', 'SynHet - Synthetic Heterocycles', 'Vitas-M Laboratory', 'Thermo Fisher Scientific', '10X CHEM', 'TCI (Tokyo Chemical Industry)', 'Debye Scientific Co., Ltd', 'MolCore', 'VladaChem', 'RR Scientific', 'OtavaChemicals', 'Yuhao Chemical', 'Mcule', 'Innovapharm', 'Win-Win Chemical', 'Oakwood Products', 'ChemoSapiens', 'AA BLOCKS', 'Hairui Chemical', 'SynQuest Laboratories', 'Quality Control Solutions (QCS Standards)', 'CymitQuimica']"
Cc1c(-c2ccccc2)[nH]c2ccccc12,"InChI=1S/C15H13N/c1-11-13-9-5-6-10-14(13)16-15(11)12-7-3-2-4-8-12/h2-10,16H,1H3",KYAXCYQVBBQQHB-UHFFFAOYSA-N,258555.0,"['Mcule', 'Chemenu Inc.', 'eNovation Chemicals', 'Molport', 'BOC Sciences', 'Smolecule', 'Chem-Space.com Database', 'AstaTech, Inc.', '001Chemical', 'Vitas-M Laboratory', 'Alfa Chemistry', 'AKos Consulting & Solutions', 'J&H Chemical Co.,ltd', 'INTERBIOSCREEN', 'MolCore', 'A2B Chem', 'Starshine Chemical', 'BenchChem', 'CymitQuimica', 'Angene Chemical', 'MuseChem', 'AA BLOCKS', 'BLD Pharm', 'Specs']"
Cc1ccc2[nH]c(-c3ccccc3)cc2c1,"InChI=1S/C15H13N/c1-11-7-8-14-13(9-11)10-15(16-14)12-5-3-2-4-6-12/h2-10,16H,1H3",JPFTUUXPCFNLIX-UHFFFAOYSA-N,83247.0,"['AKos Consulting & Solutions', 'Alfa Chemistry', 'abcr GmbH', 'Angene Chemical', 'Accel Scientific', 'Smolecule', 'MuseChem', 'Molport', 'AbaChemScene', 'Mcule', 'Hoffman Fine Chemicals', 'Starshine Chemical', 'BLD Pharm', 'BOC Sciences', 'Sigma-Aldrich', 'AiFChem, an XtalPi Company', '10X CHEM', 'TimTec', 'J&H Chemical Co.,ltd', 'Key Organics/BIONET', 'ChemoSapiens', 'AstaTech, Inc.', 'MolCore', 'Vitas-M Laboratory', 'AA BLOCKS', 'Chem-Space.com Database', 'Finetech Industry Limited', 'AppChem', 'A2B Chem', 'eNovation Chemicals', 'eMolecules', 'Debye Scientific Co., Ltd', 'BenchChem', 'ChemDiv', 'Ambinter', 'Hairui Chemical', '001Chemical', 'SynHet - Synthetic Heterocycles', 'CymitQuimica', 'Ambeed', 'RR Scientific', 'ChemBridge', 'Accela ChemBio Inc.', 'Chemenu Inc.', 'Pi Chemicals']"
